"","Code","Continent, Region, Country","century","decade","year","heights.cm","year_decade","height.in"
"1",40,"Austria","18","2","0",163.7,"1820",64.4488188976378
"2",40,"Austria","18","3","0",163.4,"1830",64.3307086614173
"3",40,"Austria","18","4","0",164.8,"1840",64.8818897637795
"4",40,"Austria","18","5","0",165.8,"1850",65.2755905511811
"5",40,"Austria","18","6","0",166.4,"1860",65.511811023622
"6",40,"Austria","18","7","0",167.2,"1870",65.8267716535433
"7",40,"Austria","18","8","0",167.7,"1880",66.0236220472441
"8",40,"Austria","18","9","0",168.4,"1890",66.2992125984252
"9",40,"Austria","19","0","0",168.9,"1900",66.496062992126
"10",40,"Austria","19","1","0",168.9,"1910",66.496062992126
"11",40,"Austria","19","2","0",170.4,"1920",67.0866141732283
"12",40,"Austria","19","6","0",177,"1960",69.6850393700787
"13",40,"Austria","19","7","0",177.5,"1970",69.8818897637795
"14",40,"Austria","19","8","0",178.8,"1980",70.3937007874016
"15",56,"Belgium","18","1","0",163.1,"1810",64.2125984251968
"16",56,"Belgium","18","2","0",163.7,"1820",64.4488188976378
"17",56,"Belgium","18","3","0",164,"1830",64.5669291338583
"18",56,"Belgium","18","4","0",165.1,"1840",65
"19",56,"Belgium","18","5","0",166.1,"1850",65.3937007874016
"20",56,"Belgium","18","6","0",166.6,"1860",65.5905511811024
"21",56,"Belgium","18","7","0",166.6,"1870",65.5905511811024
"22",56,"Belgium","19","0","0",167.8,"1900",66.0629921259843
"23",56,"Belgium","19","4","0",174.54,"1940",68.7165354330709
"24",56,"Belgium","19","6","0",176.8,"1960",69.6062992125984
"25",280,"Federal Republic of Germany (until 1990)","18","1","0",167.8,"1810",66.0629921259843
"26",280,"Federal Republic of Germany (until 1990)","18","2","0",167.3,"1820",65.8661417322835
"27",280,"Federal Republic of Germany (until 1990)","18","3","0",166.8,"1830",65.6692913385827
"28",280,"Federal Republic of Germany (until 1990)","18","4","0",166.6,"1840",65.5905511811024
"29",280,"Federal Republic of Germany (until 1990)","18","5","0",163.8,"1850",64.488188976378
"30",280,"Federal Republic of Germany (until 1990)","18","6","0",165.5,"1860",65.1574803149606
"31",280,"Federal Republic of Germany (until 1990)","18","7","0",166.9,"1870",65.7086614173228
"32",280,"Federal Republic of Germany (until 1990)","18","8","0",167.9,"1880",66.1023622047244
"33",280,"Federal Republic of Germany (until 1990)","18","9","0",168.6,"1890",66.3779527559055
"34",280,"Federal Republic of Germany (until 1990)","19","0","0",169.2,"1900",66.6141732283464
"35",280,"Federal Republic of Germany (until 1990)","19","1","0",170.5,"1910",67.1259842519685
"36",280,"Federal Republic of Germany (until 1990)","19","2","0",173.3,"1920",68.2283464566929
"37",280,"Federal Republic of Germany (until 1990)","19","3","0",174,"1930",68.503937007874
"38",280,"Federal Republic of Germany (until 1990)","19","4","0",175.2,"1940",68.9763779527559
"39",280,"Federal Republic of Germany (until 1990)","19","5","0",176.8,"1950",69.6062992125984
"40",280,"Federal Republic of Germany (until 1990)","19","6","0",178.9,"1960",70.4330708661417
"41",280,"Federal Republic of Germany (until 1990)","19","7","0",179.4,"1970",70.6299212598425
"42",280,"Federal Republic of Germany (until 1990)","19","8","0",180.5,"1980",71.0629921259843
"43",250,"France","18","1","0",163.9,"1810",64.5275590551181
"44",250,"France","18","2","0",163.9,"1820",64.5275590551181
"45",250,"France","18","3","0",164,"1830",64.5669291338583
"46",250,"France","18","4","0",164.3,"1840",64.6850393700787
"47",250,"France","18","5","0",165.2,"1850",65.0393700787401
"48",250,"France","18","6","0",165.4,"1860",65.1181102362205
"49",250,"France","18","7","0",165.5,"1870",65.1574803149606
"50",250,"France","18","8","0",165.9,"1880",65.3149606299213
"51",250,"France","18","9","0",166.1,"1890",65.3937007874016
"52",250,"France","19","0","0",166.8,"1900",65.6692913385827
"53",250,"France","19","1","0",167.8,"1910",66.0629921259843
"54",250,"France","19","2","0",168.5,"1920",66.3385826771653
"55",250,"France","19","3","0",169.9,"1930",66.8897637795276
"56",250,"France","19","4","0",171.7,"1940",67.5984251968504
"57",250,"France","19","5","0",173.175,"1950",68.1791338582677
"58",250,"France","19","6","0",174.9,"1960",68.8582677165354
"59",250,"France","19","7","0",175.1,"1970",68.9370078740157
